similarity;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,-1,2,3],"matchScore":[1,0,1,0.9555555555555555],"exact":2,"score":2.9555555555555557,"order":1,"size":0.25};1287;strada cuza voda 86;1898;strada tepes voda 86a
{"matched":[0,1,2,3],"matchScore":[1,0.24166666666666667,1,0.42500000000000004],"exact":2,"score":2.6666666666666665,"order":1,"size":0.25};1288;strada cuza voda 93;1249;strada mihai voda 9
{"matched":[0,1,2,3],"matchScore":[1,0.24166666666666667,1,0.42500000000000004],"exact":2,"score":2.6666666666666665,"order":1,"size":0.25};1289;strada cuza voda 98;1249;strada mihai voda 9
{"matched":[0,2,3],"matchScore":[1,0.3666666666666667,1],"exact":2,"score":2.3666666666666667,"order":0.7777777777777777,"size":0.25};1290;bulevardul dacia 32;1175;bulevardul regina maria 32
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};1291;bulevardul dacia 37;584;bulevardul dacia 67
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};1292;bulevardul dacia 45;588;bulevardul dacia 75
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};1293;bulevardul dacia 64;580;bulevardul dacia 60
{"matched":[0,2,3],"matchScore":[1,0.3666666666666667,1],"exact":2,"score":2.3666666666666667,"order":0.7777777777777777,"size":0.25};1294;bulevardul dacia 80;1184;bulevardul regina maria 80
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};1295;bulevardul dacia 101;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};1296;bulevardul dacia 103;464;bulevardul dacia 103
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};1297;bulevardul dacia 103;464;bulevardul dacia 103
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};1298;bulevardul dacia 104;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};1299;bulevardul dacia 114;602;bulevardul dacia 117
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};1300;bulevardul dacia 116;602;bulevardul dacia 117
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};1301;bulevardul dacia 131;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};1302;bulevardul dacia 149;577;bulevardul dacia 12
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};1303;bulevardul dacia 153;464;bulevardul dacia 103
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};1304;bulevardul dacia 159;577;bulevardul dacia 12
