id_lie;cod_lmi;similarity;a_score;lie_index;lie_add;lmi_index;lmi_add;match
CS2-00084;B-II-m-B-18539;"{""matched"":[0,1,2],""matchScore"":[1,1,0.3333333333333333],""exact"":2,""score"":2.3333333333333335,""order"":1,""size"":0.3333333333333333}";110.333333333333;464;bulevardul dacia 33;592;bulevardul dacia 83;no
CS2-00085;B-II-m-B-18531;"{""matched"":[0,1,2],""matchScore"":[1,1,0.3333333333333333],""exact"":2,""score"":2.3333333333333335,""order"":1,""size"":0.3333333333333333}";110.333333333333;465;bulevardul dacia 47;584;bulevardul dacia 67;no
CS2-00086;B-II-m-B-18532;"{""matched"":[0,1,2],""matchScore"":[1,1,0.3333333333333333],""exact"":2,""score"":2.3333333333333335,""order"":1,""size"":0.3333333333333333}";110.333333333333;466;bulevardul dacia 49;585;bulevardul dacia 69;no
CS2-00087;B-II-m-B-18538;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;467;bulevardul dacia 88;591;bulevardul dacia 82;no
CS2-00088;B-II-m-B-18548;"{""matched"":[0,1,2],""matchScore"":[1,1,0.4111111111111111],""exact"":2,""score"":2.411111111111111,""order"":1,""size"":0.3333333333333333}";110.411111111111;468;bulevardul dacia 109;354;bulevardul dacia 101;no
CS2-00089;B-II-m-B-18548;"{""matched"":[0,1,2],""matchScore"":[1,1,0.39999999999999997],""exact"":2,""score"":2.4,""order"":1,""size"":0.3333333333333333}";110.4;469;bulevardul dacia 171;354;bulevardul dacia 101;no
CS2-00090;B-II-m-B-18549;"{""matched"":[0,1,2],""matchScore"":[1,1,0.39999999999999997],""exact"":2,""score"":2.4,""order"":1,""size"":0.3333333333333333}";110.4;470;bulevardul dacia 173;464;bulevardul dacia 103;no
CS2-00091;B-II-m-B-18526;"{""matched"":[0,1,2],""matchScore"":[1,1,0.3333333333333333],""exact"":2,""score"":2.3333333333333335,""order"":1,""size"":0.3333333333333333}";110.333333333333;471;bulevardul dacia 28;579;bulevardul dacia 58;no
CS2-00092;B-II-m-B-18556;"{""matched"":[0,1,3],""matchScore"":[1,0.38571428571428573,1],""exact"":2,""score"":2.3857142857142857,""order"":0.7777777777777777,""size"":0.25}";104.857142857143;472;intrarea dacilor 4;606;intrarea dascalu nicolae 4;no
CS2-00093;B-II-m-B-19469;"{""matched"":[0,2,1,3],""matchScore"":[1,1,1,0.35],""exact"":3,""score"":3.35,""order"":0.75,""size"":0.25}";1110.35;473;strada david praporgescu 11;1537;strada praporgescu david 17;no
CS2-00094;B-II-m-B-19014;"{""matched"":[0,1,2,-1],""matchScore"":[1,0.3055555555555555,1,0],""exact"":2,""score"":2.3055555555555554,""order"":1,""size"":0.25}";1040.55555555556;474;strada despot voda 7;1067;strada leon voda 3;no
CS2-00095;B-II-m-B-18605;"{""matched"":[0,1,3],""matchScore"":[1,0.8454761904761905,1],""exact"":2,""score"":2.8454761904761905,""order"":0.7777777777777777,""size"":0.25}";109.454761904762;475;strada diminetii 1;655;strada domnita anastasia 1;no
CS2-00096;B-II-m-B-19892;"{""matched"":[0,1,2,3],""matchScore"":[1,0.375,0.27499999999999997,0.32499999999999996],""exact"":1,""score"":1.9749999999999999,""order"":1,""size"":0.25}";1040.575;476;bulevardul dimitrie cantemir 13a;1965;bulevardul vladimirescu tudor 15;no
CS2-00097;B-II-m-B-19892;"{""matched"":[0,1,2,3],""matchScore"":[1,0.375,0.27499999999999997,1],""exact"":2,""score"":2.65,""order"":1,""size"":0.25}";1041.25;477;bulevardul dimitrie cantemir 15;1965;bulevardul vladimirescu tudor 15;no
CS2-00098;B-II-m-B-19892;"{""matched"":[0,1,2,3],""matchScore"":[1,0.375,0.27499999999999997,0.9555555555555555],""exact"":1,""score"":2.605555555555555,""order"":1,""size"":0.25}";1041.20555555556;478;bulevardul dimitrie cantemir 15a;1965;bulevardul vladimirescu tudor 15;no
CS2-00099;B-II-m-B-21042;"{""matched"":[0,2,1,-1],""matchScore"":[1,1,0.48333333333333334,0],""exact"":2,""score"":2.4833333333333334,""order"":0.6666666666666667,""size"":0.25}";1104.83333333333;479;strada dimitrie onciul 16a;1363;strada onciu dimitrie 31;no
CS2-00100;B-II-m-B-21042;"{""matched"":[0,2,1,-1],""matchScore"":[1,1,0.48333333333333334,0],""exact"":2,""score"":2.4833333333333334,""order"":0.6666666666666667,""size"":0.25}";1104.83333333333;480;strada dimitrie onciul 29a;1363;strada onciu dimitrie 31;no
CS2-00101;B-II-m-B-18826;"{""matched"":[0,2,1,3],""matchScore"":[1,1,1,0.2916666666666667],""exact"":3,""score"":3.2916666666666665,""order"":0.75,""size"":0.25}";1110.29166666667;481;bulevardul dinicu golescu 23-25;876;bulevardul golescu dinicu 38;no
CS2-00102;B-II-m-B-18825;"{""matched"":[0,2,1,-1],""matchScore"":[1,1,1,0],""exact"":3,""score"":3,""order"":0.6666666666666667,""size"":0.25}";1110;482;bulevardul dinicu golescu 7;875;bulevardul golescu dinicu 16;no
CS2-00103;B-II-m-B-19106;"{""matched"":[0,2,1,3],""matchScore"":[1,1,1,0.35],""exact"":3,""score"":3.35,""order"":0.75,""size"":0.25}";1110.35;483;strada dionisie lupu 35;1145;strada lupu dionisie 37;no
CS2-00104;B-II-m-B-18605;"{""matched"":[0,1,2,3],""matchScore"":[1,1,1,0.42500000000000004],""exact"":3,""score"":3.425,""order"":1,""size"":0.25}";1110.425;484;strada domnita anastasia 15;655;strada domnita anastasia 1;no
CS2-00105;B-II-m-B-20947;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;485;calea dorobantilor 10;664;calea dorobantilor 16;no
CS2-00108;B-II-m-B-21069;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;486;calea dorobantilor 65;668;calea dorobantilor 60;no
CS2-00109;B-II-m-B-18617;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;487;calea dorobantilor 73;669;calea dorobantilor 72;no
CS2-00110;B-II-m-B-18618;"{""matched"":[0,1,2],""matchScore"":[1,1,0.925],""exact"":2,""score"":2.925,""order"":1,""size"":0.3333333333333333}";110.925;488;strada drobeta 1;670;strada drobeta 11;no
CS2-00111;B-II-m-B-18618;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;489;strada drobeta 7;670;strada drobeta 11;no
