similarity;a_score;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;721;calea victoriei 25;1913;calea victoriei 2
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};110.4;722;calea victoriei 103-105;1918;calea victoriei 11
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};110.43333333333334;723;calea victoriei 128b;1919;calea victoriei 12
{"matched":[0,1,2],"matchScore":[1,1,0.45555555555555555],"exact":2,"score":2.4555555555555557,"order":1,"size":0.3333333333333333};110.45555555555555;724;calea victoriei 136;1921;calea victoriei 13
{"matched":[0,1,2],"matchScore":[1,1,0.45555555555555555],"exact":2,"score":2.4555555555555557,"order":1,"size":0.3333333333333333};110.45555555555555;725;calea victoriei 143;1922;calea victoriei 14
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};110.4;726;calea victoriei 214;1913;calea victoriei 2
{"matched":[0,3,4],"matchScore":[1,0.2916666666666667,0.42500000000000004],"exact":1,"score":1.7166666666666668,"order":0.6444444444444446,"size":0.2};103.34166666666667;727;soseaua viilor 95;1041;soseaua kiseleff pavel dimitrievici 9
{"matched":[0,2,3],"matchScore":[1,0.4259259259259259,1],"exact":2,"score":2.4259259259259256,"order":0.7777777777777777,"size":0.25};105.25925925925925;728;strada viisoarei 2;1516;strada popa soare 2
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;729;strada viitorului 107;1951;strada viitorului 94
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;730;strada visarion 3;1952;strada visarion 4-6
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;731;strada vulturilor 48;2013;strada vulturilor 3
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;732;strada washington 2;2014;strada washington 9
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;733;strada washington 4;2014;strada washington 9
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;734;strada academiei 1a;6;strada academiei 3-5
{"matched":[0,3,1,4],"matchScore":[1,0.39999999999999997,0.22380952380952382,1],"exact":2,"score":2.623809523809524,"order":0.5999999999999999,"size":0.2};1043.2380952380952;735;strada ady endre 7;1688;strada rosetti c a 7
{"matched":[0,1,2],"matchScore":[1,0.3686868686868687,0.42500000000000004],"exact":1,"score":1.7936868686868688,"order":1,"size":0.3333333333333333};104.11186868686869;736;strada agricultori 74;1329;strada negustori 7
{"matched":[0,2,3,4],"matchScore":[1,1,0.23214285714285712,0.42500000000000004],"exact":2,"score":2.6571428571428575,"order":0.8500000000000001,"size":0.2};1102.7464285714286;737;bulevardul alexandru obregia 2;575;bulevardul cuza alexandru ioan 21
{"matched":[0,2,3],"matchScore":[1,0.3833333333333333,1],"exact":2,"score":2.3833333333333333,"order":0.7777777777777777,"size":0.25};104.83333333333333;738;strada armoniei 1;703;strada dumbrava rosie 1
{"matched":[0,1,2,3],"matchScore":[1,0.40249999999999997,0.28095238095238095,1],"exact":2,"score":2.6834523809523807,"order":1,"size":0.25};1044.0595238095239;739;strada aura buzescu 1;127;strada avram iancu 1
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;740;strada aurel vlaicu 68;1967;strada vlaicu aurel 16
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};110.29166666666667;741;bulevardul aviatorilor 65;125;bulevardul aviatorilor 51-53
{"matched":[0,1,2],"matchScore":[1,0.40089285714285716,1],"exact":2,"score":2.400892857142857,"order":1,"size":0.3333333333333333};105.00892857142857;742;strada baladei 3;275;strada bradesti 3
{"matched":[0,1,3],"matchScore":[1,0.36388888888888893,1],"exact":2,"score":2.363888888888889,"order":0.7777777777777777,"size":0.25};104.63888888888889;743;strada balcesti 9;21;strada alecsandri vasile 9
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};1110;744;bulevardul banul manta 7;147;bulevardul banul manta 9
{"matched":[0,1,-1,2],"matchScore":[1,0.29365079365079366,0,1],"exact":2,"score":2.2936507936507935,"order":0.7777777777777777,"size":0.3333333333333333};1030.3650793650793;745;aleea barajul sadului 3-5;46;aleea alexandru 35
{"matched":[0,1,3],"matchScore":[1,0.3333333333333333,1],"exact":2,"score":2.333333333333333,"order":0.7777777777777777,"size":0.25};104.33333333333333;746;strada brasov 19;1654;strada romano alexandru 19
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":0.6800000000000002,"size":0.2};11110.425;747;strada c a rosetti 34;679;strada rosetti c a 3
{"matched":[0,1,2,4],"matchScore":[1,0.4119047619047619,0.22685185185185186,0.32499999999999996],"exact":1,"score":1.9637566137566136,"order":0.8499999999999999,"size":0.2};1043.7839947089947;748;strada caderea bastiliei 19a;339;strada calderon jean louis 16
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;749;calea calarasilor 41;412;calea calarasilor 42
{"matched":[0,1,3],"matchScore":[1,0.40555555555555556,1],"exact":2,"score":2.4055555555555554,"order":0.7777777777777777,"size":0.25};105.05555555555556;750;strada calusei 11;352;strada calomfirescu radu 11
